Year;Latitude;Longitude;Depth;Mw
2020;37.8945;29.5965;7.6;3.8
2020;36.5835;43.7375;3.2;3.8
2020;35.0182;26.8432;83.2;3.6
2020;40.0913;33.2582;7.9;3.8
2020;37.9112;26.3903;21.2;4.2
2019;40.3462;42.1595;5;4.3
2019;35.6587;32.062;31;3.6
2019;38.3725;39.0448;2.2;3.6
2019;38.3513;38.9847;4.5;4.8
2019;39.4388;27.9092;9.5;3.3
2019;39.4475;27.9088;10;3.5
2019;40.7983;27.5425;16.3;3.3
2019;39.4555;40.0313;5;4.3
2019;35.846;32.5395;9.4;3.5
2019;38.0035;26.9722;8.2;3.6
2019;35.2515;26.2705;4.1;3.9
2019;35.3938;27.7547;20.1;3.5
2019;39.4375;27.9355;9.6;3.2
2019;39.4492;27.9148;9.4;3.7
2019;35.3425;26.5243;86.7;5.1
2019;39.4522;27.915;8.7;4.1
2019;39.45;27.918;9.9;4.3
2019;39.4452;27.9245;9.2;4.8
2019;35.6713;31.1093;8.5;3.7
2019;40.7703;31.5047;5;3.8
2019;35.3657;27.0963;8.6;3.8
2019;37.85;29.6068;7.2;3.8
2019;35.3187;27.1677;7.7;4.2
2019;40.3285;42.2065;10;3.8
2019;40.3302;42.1667;5;4.1
2019;38.194;44.404;13.2;3.5
2019;37.8457;29.6442;5.6;3.9
2019;37.6395;35.6697;5;3.7
2019;37.6415;35.6612;3.5;3.7
2019;35.8603;30.5067;19.3;3.4
2019;38.3988;44.5125;5;3.6
2019;40.5955;28.9385;9.7;3.4
2019;38.2313;44.5323;18;3.7
2019;39.3357;28.2677;6.8;3.6
2019;39.342;28.2753;7.4;3.9
2019;38.4045;44.4965;5;3.3
2019;38.3207;44.506;5;4.2
2019;36.7747;29.999;69.3;4.2
2019;39.6285;28.6548;5.4;3.5
2019;36.0357;35.963;17.2;3.7
2019;37.671;38.5462;5;3.8
2019;37.0715;28.5588;6.2;3.6
2019;38.353;38.9688;3.4;3.9
2019;36.4597;28.699;4.4;4.1
2019;36.4833;28.6947;5;3.6
2019;36.5682;31.4103;86.3;3.9
2019;40.7342;32.9457;7.4;3.8
2019;40.881;28.2057;10.8;3.3
2019;36.491;28.6952;5;3.4
2019;35.3018;27.1845;1.2;3.4
2019;36.464;28.6945;5;3.4
2019;36.451;28.6993;5.7;4.6
2019;36.7402;27.1858;9.5;3.8
2019;35.1847;29.4613;6.7;3.9
2019;38.9405;43.7447;6.8;4.3
2019;36.8528;26.5023;15.3;3.7
2019;35.2218;27.7242;16.1;3.5
2019;35.2828;27.7645;10;3.5
2019;35.1515;28.2778;20.5;3.8
2019;40.6948;29.267;10.9;3.4
2019;40.7112;29.2698;4.6;3.2
2019;40.6953;29.2597;10.3;3.8
2019;37.889;29.5568;6.5;3.8
2019;38.8625;27.0115;8.7;3.5
2019;36.068;27.2605;10.8;3.7
2019;36.0507;27.9818;87.5;4.3
2019;35.9387;27.4767;5.7;3.8
2019;40.3117;27.2547;15;3.4
2019;36.3028;28.558;14.6;5
2019;35.2032;27.7703;8.8;4.3
2019;40.6942;29.2622;14.7;3.7
2019;40.8692;28.2828;14.8;3.7
2019;40.425;26.112;12;3.9
2019;40.852;28.274;10.5;3.4
2019;39.6605;27.6538;10.6;3.5
2019;40.8677;28.2318;9.5;4.2
2019;40.8607;28.298;9.8;3.8
